Field ,Area,Identification number,Days,Na,K,Mg,Ca,Sr,Ba,Cl,SO4
Dan ,Central,127,4887,25517.96000001,209,386,1531,277,1,43301.00000001,458
Dan ,Central,63,4888,23611.73000001,235,437,1334,216,1,39918,749
Dan ,Central,65,4888,24269.44,485,419,2545,314,1,43419,631
Dan ,Central,82,4888,26676.54,238,341,1379,267,1,44684,489
Dan ,Central,50,4892,24769.26000001,248,279,1203,226,1,41153.00000001,584
Dan ,Central,52,4895,25568.6,261,287,1102,222,1,42251,569
Dan ,Central,51,4895,28292.21000001,226,340,1628,291,1,47587.9999999999,538
Dan ,Central,86,4896,24455.49,219,345,1384,246,1,41248,481
Dan ,Central,82,4896,27254.07000001,245,338,1362,261,1,45524,508
Dan ,Central,65,4896,27344.17,221,360,2724,376,1,48245.00000001,461
Dan ,Central,63,4897,24504.46000001,237,441,1270,225,1,41213.00000001,736
Dan ,Central,127,4897,25530.77000001,211,394,1470,271,1,43205.00000001,496
Dan ,Central,68,4897,28147.53,265,504,2990,403,1,50446,451
Dan ,Central,42,4899,22389.94000001,223,253,1145,199,1,37312,510
Dan ,Central,63,4908,24791.76,390,419,1280,190,1,41600,900
Dan ,Central,50,4908,24917.26000001,360,263,1140,186,1,41200,710
Dan ,Central,52,4908,26193.17000001,267,292,1129,229,1,43222,659
Dan ,Central,82,4908,27830.56,320,323,1490,223,1,46500,690
Dan ,Central,127,4909,26168.56,380,373,1520,228,1,44200,680
Dan ,Central,82,4909,27049.77,229,331,1323,256,1,45068,552
Dan ,Central,65,4909,28005.46,340,359,3180,259,1,49900,710
Dan ,Central,42,4910,23517.30000001,208,243,1018,192,1,38576,784
Dan ,Central,86,4910,25220.35000001,226,344,1350,251,1,42330,543
Dan ,Central,68,4910,29167.64,271,512,2893,407,1,51835,513
Dan ,Central,63,4913,24945.77,247,453,1275,224,1,41848,869
Dan ,Central,68,4921,27996.45,410,479,2570,266,1,49299.9999999999,610
Dan ,Central,51,4921,28451.36,217,335,1580,283,1,47675,598
Dan ,Central,42,4922,22540.66000001,290,239,1040,165,1,37300,580
Dan ,Central,63,4923,24364.06,229,445,1252,216,1,40841.00000001,899
Dan ,Central,86,4924,24931.04,340,341,1410,207,1,42000,610
Dan ,Central,82,4924,26850.53,330,331,1350,212,1,44800,640
Dan ,Central,127,4924,27551.91,233,351,1369,265,1,45985.00000001,564
Dan ,Central,52,4929,25791.03000001,400,289,1150,194,1,42700,690
Dan ,Central,51,4929,28142.7,320,323,1660,226,1,47299.9999999999,670
Dan ,Central,50,4930,25310.43000001,390,281,1310,192,1,42200,700
Dan ,Central,63,4932,24177.81000001,390,441,1260,181,1,40600,1000
Dan ,Central,42,4936,23297.83,264,277,1168,202,1,38804,591
Dan ,Central,127,4937,26893.88,232,386,1516,289,1,45380,524
Dan ,Central,86,4938,25519.28,226,361,1424,248,1,42963,552
Dan ,Central,127,4938,25906.8,360,383,1560,228,1,43900,650
Dan ,Central,68,4939,26900.46000001,292,510,4771,361,1,51639.00000001,510
Dan ,Central,52,4940,26109.44,255,289,1072,216,1,42952,672
Dan ,Central,50,4946,24416.77,255,293,1367,241,1,40941.00000001,608
Dan ,Central,52,4947,24228.20000001,268,294,1102,225,1,40238,533
Dan ,Central,42,4948,21782.50000001,214,1020,247,191,1,36979,553
Dan ,Central,63,4948,22936.42000001,232,440,1184,211,1,38493.00000001,910
